file_path,dog,video,split
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video1/UCbta5UYAzeIOQAL7-A4s0WA+7_eMn2y463g+00013+00000.wav,Bounce_The_Pit_Bull,video1,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video1/UCbta5UYAzeIOQAL7-A4s0WA+7_eMn2y463g+00016+00000.wav,Bounce_The_Pit_Bull,video1,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video1/UCbta5UYAzeIOQAL7-A4s0WA+7_eMn2y463g+00016+00001.wav,Bounce_The_Pit_Bull,video1,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video1/UCbta5UYAzeIOQAL7-A4s0WA+7_eMn2y463g+00019+00000.wav,Bounce_The_Pit_Bull,video1,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video1/UCbta5UYAzeIOQAL7-A4s0WA+7_eMn2y463g+00019+00001.wav,Bounce_The_Pit_Bull,video1,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video1/UCbta5UYAzeIOQAL7-A4s0WA+7_eMn2y463g+00019+00002.wav,Bounce_The_Pit_Bull,video1,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video1/UCbta5UYAzeIOQAL7-A4s0WA+7_eMn2y463g+00019+00003.wav,Bounce_The_Pit_Bull,video1,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video1/UCbta5UYAzeIOQAL7-A4s0WA+7_eMn2y463g+00020+00000.wav,Bounce_The_Pit_Bull,video1,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video1/UCbta5UYAzeIOQAL7-A4s0WA+7_eMn2y463g+00034+00000.wav,Bounce_The_Pit_Bull,video1,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video1/UCbta5UYAzeIOQAL7-A4s0WA+7_eMn2y463g+00034+00001.wav,Bounce_The_Pit_Bull,video1,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video1/UCbta5UYAzeIOQAL7-A4s0WA+7_eMn2y463g+00034+00002.wav,Bounce_The_Pit_Bull,video1,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video1/UCbta5UYAzeIOQAL7-A4s0WA+7_eMn2y463g+00041+00000.wav,Bounce_The_Pit_Bull,video1,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video2/UCbta5UYAzeIOQAL7-A4s0WA+FH5Dd6JXhQk+00003+00000.wav,Bounce_The_Pit_Bull,video2,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video2/UCbta5UYAzeIOQAL7-A4s0WA+FH5Dd6JXhQk+00009+00000.wav,Bounce_The_Pit_Bull,video2,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video2/UCbta5UYAzeIOQAL7-A4s0WA+FH5Dd6JXhQk+00010+00000.wav,Bounce_The_Pit_Bull,video2,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video2/UCbta5UYAzeIOQAL7-A4s0WA+FH5Dd6JXhQk+00011+00000.wav,Bounce_The_Pit_Bull,video2,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video2/UCbta5UYAzeIOQAL7-A4s0WA+FH5Dd6JXhQk+00011+00001.wav,Bounce_The_Pit_Bull,video2,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video2/UCbta5UYAzeIOQAL7-A4s0WA+FH5Dd6JXhQk+00012+00000.wav,Bounce_The_Pit_Bull,video2,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video2/UCbta5UYAzeIOQAL7-A4s0WA+FH5Dd6JXhQk+00024+00000.wav,Bounce_The_Pit_Bull,video2,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video3/UCbta5UYAzeIOQAL7-A4s0WA+aj0luqjlJ6I+00003+00000.wav,Bounce_The_Pit_Bull,video3,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video3/UCbta5UYAzeIOQAL7-A4s0WA+aj0luqjlJ6I+00003+00001.wav,Bounce_The_Pit_Bull,video3,train
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video4/UCbta5UYAzeIOQAL7-A4s0WA+8x5tsVcrmsM+00049+00000.wav,Bounce_The_Pit_Bull,video4,test
/Users/kingsley/Downloads/data/raw/Bounce_The_Pit_Bull/video4/UCbta5UYAzeIOQAL7-A4s0WA+8x5tsVcrmsM+00068+00000.wav,Bounce_The_Pit_Bull,video4,test
/Users/kingsley/Downloads/data/raw/Brindle_Pitbull_Bulletproof/video1/UC2BgCUp6zFMbnZrpwX0ZdEQ+FwKSp06O6UQ+00000+00000.wav,Brindle_Pitbull_Bulletproof,video1,train
/Users/kingsley/Downloads/data/raw/Brindle_Pitbull_Bulletproof/video1/UC2BgCUp6zFMbnZrpwX0ZdEQ+FwKSp06O6UQ+00000+00001.wav,Brindle_Pitbull_Bulletproof,video1,train
/Users/kingsley/Downloads/data/raw/Brindle_Pitbull_Bulletproof/video1/UC2BgCUp6zFMbnZrpwX0ZdEQ+FwKSp06O6UQ+00000+00002.wav,Brindle_Pitbull_Bulletproof,video1,train
/Users/kingsley/Downloads/data/raw/Brindle_Pitbull_Bulletproof/video2/UC2BgCUp6zFMbnZrpwX0ZdEQ+r1yhsDhmVBY+00000+00000.wav,Brindle_Pitbull_Bulletproof,video2,train
/Users/kingsley/Downloads/data/raw/Brindle_Pitbull_Bulletproof/video2/UC2BgCUp6zFMbnZrpwX0ZdEQ+r1yhsDhmVBY+00001+00000.wav,Brindle_Pitbull_Bulletproof,video2,train
/Users/kingsley/Downloads/data/raw/Brindle_Pitbull_Bulletproof/video2/UC2BgCUp6zFMbnZrpwX0ZdEQ+r1yhsDhmVBY+00001+00001.wav,Brindle_Pitbull_Bulletproof,video2,train
/Users/kingsley/Downloads/data/raw/Brindle_Pitbull_Bulletproof/video3/UC2BgCUp6zFMbnZrpwX0ZdEQ+x4OLPh0gr4E+00000+00000.wav,Brindle_Pitbull_Bulletproof,video3,train
/Users/kingsley/Downloads/data/raw/Brindle_Pitbull_Bulletproof/video3/UC2BgCUp6zFMbnZrpwX0ZdEQ+x4OLPh0gr4E+00003+00000.wav,Brindle_Pitbull_Bulletproof,video3,train
/Users/kingsley/Downloads/data/raw/Brindle_Pitbull_Bulletproof/video3/UC2BgCUp6zFMbnZrpwX0ZdEQ+x4OLPh0gr4E+00003+00001.wav,Brindle_Pitbull_Bulletproof,video3,train
/Users/kingsley/Downloads/data/raw/Brindle_Pitbull_Bulletproof/video3/UC2BgCUp6zFMbnZrpwX0ZdEQ+x4OLPh0gr4E+00003+00002.wav,Brindle_Pitbull_Bulletproof,video3,train
/Users/kingsley/Downloads/data/raw/Brindle_Pitbull_Bulletproof/video3/UC2BgCUp6zFMbnZrpwX0ZdEQ+x4OLPh0gr4E+00003+00003.wav,Brindle_Pitbull_Bulletproof,video3,train
/Users/kingsley/Downloads/data/raw/Brindle_Pitbull_Bulletproof/video3/UC2BgCUp6zFMbnZrpwX0ZdEQ+x4OLPh0gr4E+00003+00004.wav,Brindle_Pitbull_Bulletproof,video3,train
/Users/kingsley/Downloads/data/raw/Brindle_Pitbull_Bulletproof/video4/UC2BgCUp6zFMbnZrpwX0ZdEQ+N4bMH0dH3Is+00003+00000.wav,Brindle_Pitbull_Bulletproof,video4,test
/Users/kingsley/Downloads/data/raw/Brindle_Pitbull_Bulletproof/video4/UC2BgCUp6zFMbnZrpwX0ZdEQ+N4bMH0dH3Is+00004+00000.wav,Brindle_Pitbull_Bulletproof,video4,test
